ILEADSAddress,ILEADSStreet,CITY,STATE,fullSearch,lat,lon,lat_lon_combo
4757,DR MARTIN LUTHER KIN,St. Louis,MO,"4757 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6611339,-90.2574726"
0,ARSENAL ST / MICHIGA,St. Louis,MO,"0 ARSENAL ST / MICHIGA, St. Louis, MO",,,"38.601638,-90.2364462"
4205,W FARLIN AVE,St. Louis,MO,"4205 W FARLIN AVE, St. Louis, MO",,,"38.6716761,-90.2336633"
1425,E GRAND BLVD,St. Louis,MO,"1425 E GRAND BLVD, St. Louis, MO",,,"38.6721872,-90.2082069"
0,N EUCLID AVE / LEE A,St. Louis,MO,"0 N EUCLID AVE / LEE A, St. Louis, MO",,,"38.6798444,-90.2479615"
4151,E KOSSUTH AVE,St. Louis,MO,"4151 E KOSSUTH AVE, St. Louis, MO",,,"38.6701119,-90.227919"
0,ALDINE AVE / DEER ST,St. Louis,MO,"0 ALDINE AVE / DEER ST, St. Louis, MO",,,"38.6592048,-90.2510321"
0,SWITZER AVE / ORIOLE,St. Louis,MO,"0 SWITZER AVE / ORIOLE, St. Louis, MO",,,"38.7133186,-90.2421516,"
0,N 11TH ST / HADLEY S,St. Louis,MO,"0 N 11TH ST / HADLEY S, St. Louis, MO",,,"38.6540219,-90.1974396"
400,S LEONOR K SULLIVAN,St. Louis,MO,"400 S LEONOR K SULLIVAN, St. Louis, MO",,,"38.6214896,-90.1873143"
0,HODIAMONT AVE / HORT,St. Louis,MO,"0 HODIAMONT AVE / HORT, St. Louis, MO",,,"38.662751,-90.2963101"
0,S BROADWAY / E SCHIR,St. Louis,MO,"0 S BROADWAY / E SCHIR, St. Louis, MO",,,"38.5467069,-90.2609387"
0,N GRAND BLVD / KOSSU,St. Louis,MO,"0 N GRAND BLVD / KOSSU, St. Louis, MO",,,"38.6647629,-90.2163753"
600,CLAMORGAN ALY,St. Louis,MO,"600 CLAMORGAN ALY, St. Louis, MO",,,"38.6307891,-90.1859748"
0,SAINT LOUIS AVE / LA,St. Louis,MO,"0 SAINT LOUIS AVE / LA, St. Louis, MO",,,NA
0,N 14TH ST / PINE ST,St. Louis,MO,"0 N 14TH ST / PINE ST, St. Louis, MO",,,"38.6295654,-90.2027555"
0,BIDDLE ST / N BROADW,St. Louis,MO,"0 BIDDLE ST / N BROADW, St. Louis, MO",,,"38.6353829,-90.1885727"
1415,E GRAND BLVD,St. Louis,MO,"1415 E GRAND BLVD, St. Louis, MO",,,"38.6724009,-90.2078811"
169,E GRAND BLVD,St. Louis,MO,"169 E GRAND BLVD, St. Louis, MO",,,"38.675143,-90.2030219"
0,N 11TH ST / SALISBUR,St. Louis,MO,"0 N 11TH ST / SALISBUR, St. Louis, MO",,,"38.6617619,-90.2000506"
1500,E GRAND BLVD,St. Louis,MO,"1500 E GRAND BLVD, St. Louis, MO",,,"38.6711629,-90.2087689"
0,CITY: @KENNEDY FORES,St. Louis,MO,"0 CITY: @KENNEDY FORES, St. Louis, MO",,,NA
3705,MINNESOTA,St. Louis,MO,"3705 MINNESOTA, St. Louis, MO",,,"38.5888493,-90.2381581"
2539,E DODIER ST,St. Louis,MO,"2539 E DODIER ST, St. Louis, MO",,,"38.6547833,-90.2119831"
1517,E GRAND BLVD,St. Louis,MO,"1517 E GRAND BLVD, St. Louis, MO",,,"38.6715516,-90.2096655"
7550,N CALVARY AVE,St. Louis,MO,"7550 N CALVARY AVE, St. Louis, MO",,,"38.7011397,-90.231578"
0,N 15TH ST / COLE ST,St. Louis,MO,"0 N 15TH ST / COLE ST, St. Louis, MO",,,"38.6365201,-90.2005846"
